Timestamp,Item,User
2025-02-22 15:07:26,Soup,Katherine
2025-02-22 16:20:26,Salad,Peter
2025-02-22 17:34:26,Juice,Peter
2025-02-22 16:49:26,Sandwich,Robert
2025-02-22 16:06:26,Sandwich,David
2025-02-22 14:14:26,Soup,Lisa
2025-02-22 14:47:26,Sandwich,Marcus
2025-02-22 16:48:26,Juice,David
2025-02-22 16:12:26,Sandwich,James
2025-02-22 17:47:26,Salad,James
2025-02-22 14:16:26,Juice,George
2025-02-22 15:18:26,Salad,Lisa
2025-02-22 17:21:26,Sandwich,David
2025-02-22 15:35:26,Juice,Michael
2025-02-22 17:58:26,Sandwich,James
2025-02-22 16:05:26,Juice,Kenneth
2025-02-22 14:59:26,Soup,Kenneth
2025-02-22 16:14:26,Salad,Daniel
2025-02-22 16:56:26,Juice,David
2025-02-22 16:50:26,Juice,Andrew
2025-02-22 15:07:26,Salad,George
2025-02-22 17:42:26,Juice,Amanda
2025-02-22 16:04:26,Sandwich,Margaret
2025-02-22 16:06:26,Sandwich,Emma
2025-02-22 15:55:26,Sandwich,Lisa
2025-02-22 17:33:26,Salad,Thomas
2025-02-22 14:38:26,Soup,Margaret
2025-02-22 15:55:26,Sandwich,Jessica
2025-02-22 17:35:26,Salad,Michael
2025-02-22 15:21:26,Coffee,Thomas
2025-02-22 14:09:26,Salad,Jessica
2025-02-22 14:37:26,Coffee,Patricia
2025-02-22 15:07:26,Coffee,Maria
2025-02-22 14:22:26,Juice,Maria
2025-02-22 17:39:26,Soup,Elizabeth
2025-02-22 17:33:26,Sandwich,William
2025-02-22 15:53:26,Juice,Helen
2025-02-22 15:04:26,Soup,David
2025-02-22 15:03:26,Salad,Rachel
2025-02-22 17:34:26,Sandwich,Kevin
2025-02-22 17:29:26,Juice,Sarah
2025-02-22 16:22:26,Salad,Timothy
2025-02-22 17:09:26,Sandwich,Amanda
2025-02-22 17:54:26,Salad,Laura
2025-02-22 15:08:26,Sandwich,Andrew
2025-02-22 15:02:26,Salad,David
2025-02-22 14:19:26,Juice,Amanda
2025-02-22 15:33:26,Soup,Elizabeth
2025-02-22 14:43:26,Coffee,Michael
2025-02-22 15:15:26,Coffee,Joseph
2025-02-22 14:57:26,Salad,Lisa
2025-02-22 14:57:26,Soup,Michael
2025-02-22 16:33:26,Coffee,Sarah
2025-02-22 17:10:26,Salad,Joseph
2025-02-22 14:27:26,Juice,Olivia
2025-02-22 17:36:26,Soup,Daniel
2025-02-22 17:24:26,Juice,William
2025-02-22 17:24:26,Coffee,Daniel
2025-02-22 16:41:26,Salad,Michelle
2025-02-22 16:20:26,Sandwich,Helen
2025-02-22 16:12:26,Coffee,William
2025-02-22 14:55:26,Salad,Sarah
2025-02-22 17:47:26,Juice,Robert
2025-02-22 15:48:26,Soup,Jessica
2025-02-22 14:24:26,Juice,Stephen
2025-02-22 16:14:26,Juice,Marcus
2025-02-22 16:01:26,Coffee,Laura
2025-02-22 14:27:26,Soup,Alexander
2025-02-22 14:19:26,Coffee,Kenneth
2025-02-22 16:13:26,Sandwich,George
2025-02-22 16:21:26,Soup,Nancy
2025-02-22 17:48:26,Coffee,Jessica
2025-02-22 14:40:26,Soup,Rachel
2025-02-22 18:04:26,Juice,Nancy
2025-02-22 15:54:26,Juice,Jessica
2025-02-22 17:46:26,Coffee,William
2025-02-22 16:54:26,Soup,Sophie
2025-02-22 16:44:26,Sandwich,Elizabeth
2025-02-22 16:33:26,Coffee,Sandra
2025-02-22 14:49:26,Juice,Jessica
2025-02-22 17:09:26,Salad,Kevin
2025-02-22 15:34:26,Soup,Rachel
2025-02-22 15:43:26,Coffee,Helen
2025-02-22 16:28:26,Salad,Katherine
2025-02-22 15:33:26,Soup,Kenneth
2025-02-22 15:19:26,Salad,James
2025-02-22 14:12:26,Juice,Linda
2025-02-22 16:59:26,Salad,Jessica
2025-02-22 14:50:26,Sandwich,David
2025-02-22 14:40:26,Salad,James
2025-02-22 16:22:26,Sandwich,Elizabeth
2025-02-22 17:03:26,Coffee,Katherine
2025-02-22 15:22:26,Salad,Richard
2025-02-22 16:24:26,Sandwich,Margaret
2025-02-22 16:34:26,Coffee,Christopher
2025-02-22 14:21:26,Coffee,Amanda
2025-02-22 14:35:26,Coffee,Thomas
2025-02-22 16:26:26,Coffee,Elizabeth
2025-02-22 17:04:26,Soup,Katherine
2025-02-22 16:09:26,Juice,Joseph
2025-02-22 15:51:26,Sandwich,David
2025-02-22 14:10:26,Juice,William
2025-02-22 15:22:26,Salad,Thomas
2025-02-22 16:06:26,Salad,Sophie
2025-02-22 17:27:26,Salad,Olivia
2025-02-22 17:38:26,Lunchroom,Brian
2025-02-22 15:30:26,Soup,Amanda
2025-02-22 15:12:26,Salad,Richard
2025-02-22 16:20:26,Sandwich,Elizabeth
2025-02-22 16:10:26,Sandwich,Andrew
2025-02-22 17:20:26,Salad,Olivia
2025-02-22 14:18:26,Salad,Jessica
2025-02-22 14:12:26,Juice,William
2025-02-22 15:33:26,Sandwich,Patricia
2025-02-22 14:41:26,Juice,Peter
2025-02-22 14:16:26,Salad,Christopher
2025-02-22 17:38:26,Sandwich,Michael
2025-02-22 15:15:26,Coffee,Alexander
2025-02-22 15:05:26,Soup,Helen
2025-02-22 16:59:26,Juice,Stephen
2025-02-22 16:22:26,Salad,Elizabeth
2025-02-22 17:39:26,Sandwich,Jessica
2025-02-22 15:04:26,Salad,Kenneth
2025-02-22 14:13:26,Soup,David
2025-02-22 14:33:26,Juice,Stephen
2025-02-22 15:26:26,Salad,Michael
2025-02-22 15:26:26,Salad,Lisa
2025-02-22 17:14:26,Soup,Marcus
2025-02-22 16:16:26,Soup,Elizabeth
2025-02-22 16:52:26,Soup,Sarah
2025-02-22 15:51:26,Coffee,Michelle
2025-02-22 15:22:26,Salad,Nancy
2025-02-22 16:53:26,Sandwich,George
2025-02-22 16:31:26,Salad,Kenneth
2025-02-22 14:53:26,Sandwich,Linda
2025-02-22 15:23:26,Salad,Robert
2025-02-22 17:15:26,Salad,Sandra
2025-02-22 14:25:26,Soup,Andrew
2025-02-22 15:22:26,Soup,Helen
2025-02-22 15:15:26,Coffee,Elizabeth
2025-02-22 14:13:26,Soup,James
2025-02-22 17:31:26,Salad,Linda
2025-02-22 14:34:26,Juice,Christopher
2025-02-22 15:08:26,Soup,Sandra
2025-02-22 15:22:26,Sandwich,Kevin
2025-02-22 14:40:26,Coffee,Kenneth
2025-02-22 16:07:26,Juice,Rachel
2025-02-22 14:12:26,Coffee,Olivia
2025-02-22 16:51:26,Sandwich,Kenneth
2025-02-22 17:00:26,Soup,Nancy
2025-02-22 15:58:26,Salad,Alexander
2025-02-22 16:24:26,Juice,William
